,title,Productioncompany ,Release date,Running time,Country,Language,Box office,Running time(int),Budget_in_$,Box_office_in _$,Directed by,Produced by,Written by,Based on,Starring,Music by,Distributed by,Budget,Supervising Directors,Sequence Directors,Story by,Narrated by,Cinematography,Edited by,Supervising director,Sequence directors,Story direction,Story adaptation,Story development,Languages,Animated sequences:,de Seversky scenes:,Story direction:,Story adaptation:,Live action:,Animation:,Countries,Productioncompanies ,Screenplay by,Score,Songs,Song arrangements,Orchestrations,Original release,1969 re-release,Associate Producer:,Songs:,Score:,Music Composed by:,Musical Director:,Animation by,Executive:,Background Score:,Dialogues and Lyrics:,Screenplay:,Dialogues in Rhyme:,Dialogues:
0,Academy Award Review of Walt Disney Cartoons,Walt Disney Productions,"May 19, 1937 (1937-05-19), ",41 minutes (74 minutes 1966 release),United States,English,$45.472,41.0,no value,45.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Snow White and the Seven Dwarfs,Walt Disney Productions,"December 21, 1937 (1937-12-21) (Carthay Circle Theatre, Los Angeles, CA, premiere), ",83 minutes,United States,English,$418 million,83.0,1490000.0,418000000.0,"David Hand (supervising), William Cottrell, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen, ",Walt Disney,"Ted Sears, Richard Creedon, Otto Englander, Dick Rickard, Earl Hurd, Merrill De Maris, Dorothy Ann Blank, Webb Smith, ",Snow Whiteby The Brothers Grimm,"Adriana Caselotti, Lucille La Verne, Harry Stockwell, Roy Atwell, Pinto Colvig, Otis Harlan, Scotty Mattraw, Billy Gilbert, Eddie Collins, Moroni Olsen, Stuart Buchanan, ","Frank Churchill, Paul Smith, Leigh Harline, ",RKO Radio Pictures,$1.49 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pinocchio,Walt Disney Productions,"February 7, 1940 (1940-02-07) (Center Theatre), February 23, 1940 (1940-02-23) (United States), ",88 minutes,United States,English,$164 million,88.0,2600000.0,164000000.0,,Walt Disney,,The Adventures of Pinocchioby Carlo Collodi,"Cliff Edwards, Dickie Jones, Christian Rub, Walter Catlett, Charles Judels, Evelyn Venable, Frankie Darro, ","Leigh Harline, Paul J. Smith, ",RKO Radio Pictures,$2.6 million,"Ben Sharpsteen, Hamilton Luske, Bill Roberts, Norman Ferguson, Jack Kinney, Wilfred Jackson, T. Hee, ","Ben Sharpsteen, Hamilton Luske, Bill Roberts, Norman Ferguson, Jack Kinney, Wilfred Jackson, T. Hee, ","Ted Sears, Otto Englander, Webb Smith, William Cottrell, Joseph Sabo, Erdman Penner, Aurelius Battaglia, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fantasia,Walt Disney Productions,"November 13, 1940 (1940-11-13), ",126 minutes,United States,English,$76.4–$83.3 million,126.0,2280000.0,76400000.0,"Samuel Armstrong, James Algar, Bill Roberts, Paul Satterfield, Ben Sharpsteen, David D. Hand, Hamilton Luske, Jim Handley, Ford Beebe, T. Hee, Norman Ferguson, Wilfred Jackson, ","Walt Disney, Ben Sharpsteen, ",,,"Leopold Stokowski, Deems Taylor, ",See program,RKO Radio Pictures,$2.28 million,,,"Joe Grant, Dick Huemer, ",Deems Taylor,James Wong Howe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,The Reluctant Dragon,Walt Disney Productions,"June 27, 1941 (1941-06-27), ",74 minutes,United States,English,"$960,000 (worldwide rentals) ",74.0,600000.0,960000.0,"Alfred Werker (live action)Hamilton Luske (animation)Jack Cutting, Ub Iwerks, Jack Kinney (sequence directors)",Walt Disney,Live-action:Ted SearsAl PerkinsLarry ClemmonsBill CottrellHarry ClorkRobert Benchley The Reluctant Dragon segment:Kenneth Grahame (original book)Erdman PennerT. HeeBaby Weems segment:Joe GrantDick HuemerJohn Miller,,Robert BenchleyFrances GiffordBuddy PepperNana Bryant,Frank ChurchillLarry Morey,RKO Radio Pictures,"$600,000",,,,,Bert Glennon,Paul Weatherwax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Dumbo,Walt Disney Productions,"October 23, 1941 (1941-10-23) (New York City), October 31, 1941 (1941-10-31) (U.S.), ",64 minutes,United States,English,"$1.3 million (est. United States/Canada rentals, 1941)",64.0,950000.0,1300000.0,Ben Sharpsteen (supervising director)Norman FergusonWilfred JacksonBill RobertsJack KinneySamuel Armstrong,Walt Disney,,"Dumbo, the Flying Elephantby Helen AbersonHarold Pearl","Edward Brophy, Verna Felton, Cliff Edwards, Herman Bing, Sterling Holloway, Margaret Wright, Hall Johnson Choir, ",Frank ChurchillOliver Wallace,RKO Radio Pictures,"$950,000",,,Otto EnglanderJoe GrantDick Huemer,John McLeish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bambi,Walt Disney Productions,"August 9, 1942 (1942-08-09) (World Premiere-London), August 13, 1942 (1942-08-13) (Premiere-New York City), August 21, 1942 (1942-08-21) (U.S.), ",70 minutes,United States,English,$267.4 million,70.0,858000.0,267399999.99999997,,Walt Disney,,"Bambi, a Life in the Woodsby Felix Salten",see below,Frank ChurchillEdward H. Plumb,RKO Radio Pictures,"$858,000",,,,,,,Supervising directorDavid HandSequence directorsJames AlgarSamuel ArmstrongGraham HeidBill RobertsPaul SatterfieldNorman Wright,Supervising directorDavid HandSequence directorsJames AlgarSamuel ArmstrongGraham HeidBill RobertsPaul SatterfieldNorman Wright,Story directionPerce PearceStory adaptationLarry MoreyStory developmentVernon StallingsMelvin ShawCarl FallbergChuck CouchRalph Wright,Story directionPerce PearceStory adaptationLarry MoreyStory developmentVernon StallingsMelvin ShawCarl FallbergChuck CouchRalph Wright,Story directionPerce PearceStory adaptationLarry MoreyStory developmentVernon StallingsMelvin ShawCarl FallbergChuck CouchRalph Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saludos Amigos,Walt Disney Productions,"August 24, 1942 (1942-08-24) (World Premiere-Rio de Janeiro), February 6, 1943 (1943-02-06) (U.S. Premiere-Boston), February 19, 1943 (1943-02-19) (U.S.), ",42 minutes,United States,,"$1,135,000 (worldwide rentals) ",42.0,no value,1135000.0,"Norman Ferguson, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, ",Walt Disney,,,"Lee Blair, Mary Blair, Pinto Colvig, Walt Disney, Norman Ferguson, Frank Graham, Clarence Nash, José Oliveira, Frank Thomas, ","Paul Smith, Edward H. Plumb, ",RKO Radio Pictures,,,,"Homer Brightman, William Cottrell, Richard Huemer, Joe Grant, Harold Reeves, Ted Sears, Webb Smith, Roy Williams, Ralph Wright, ",Fred Shields,,,,,,,,"English, Portuguese, Spanish, ",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Victory Through Air Power,Walt Disney Productions,"July 17, 1943 (1943-07-17), ",70 min,United States,English,"$799,000",70.0,788000.0,799000.0,,Walt Disney,,Victory Through Air Power by Maj. Alexander P. Seversky,Alexander de Seversky,Edward H. Plumb  Paul J. Smith  Oliver Wallace,United Artists,"$788,000",,,,Art Baker,Ray Rennahan,Jack Dennis,,,,,,, Animated sequences: James Algar  Clyde Geronimi  Jack Kinney  de Seversky scenes:  H.C. Potter, Animated sequences: James Algar  Clyde Geronimi  Jack Kinney  de Seversky scenes:  H.C. Potter,Story direction:  Perce Pearce  Story adaptation:  T. Hee  Erdman Penner Bill Cottrell  James Brodero   George Stallings  Jose Rodriguez,Story direction:  Perce Pearce  Story adaptation:  T. Hee  Erdman Penner Bill Cottrell  James Brodero   George Stallings  Jose Rodriguez,,,,,,,,,,,,,,,,,,,,,,,
9,The Three Caballeros,Walt Disney Productions,"December 21, 1944 (1944-12-21) (Mexico City), February 3, 1945 (1945-02-03) (US), ",71 minutes,United States,,"$3,355,000 (worldwide rentals) ",71.0,no value,3355000.0,"Norman Ferguson (supervising director), Clyde Geronimi, Jack Kinney, Bill Roberts, Harold Young (sequence directors), ",Walt Disney,,,"Clarence Nash, José Oliveira, Joaquin Garay, ","Edward H. Plumb, Paul J. Smith, Charles Wolcott, ",RKO Radio Pictures,,,,"Homer Brightmen, Ernest Terrazas, Ted Sears, Bill Peet, Ralph Wright, Elmer Plummer, Roy Williams, William Cottrell, Del Connell, James Bodrero, ",,,,,,,,,"English, Spanish, Portuguese, ",,,,,,,,,,,,,,,,,,,,,,,,,,,
